 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  97368 186448  13396 291236    0    0     0     0  341  241  0 67 33  0  0
 0  0  97368 187088  13396 291236    0    0     0     0  338  182  0 76 24  0  0
 5  0  97368 183372  13396 291236    0    0     0     0  449  217  0 72 28  0  0
 0  0  97368 185260  13404 291244    0    0     0    16  474  233  0 73 27  0  0
 3  0  97368 184172  13404 291244    0    0     0     0  556  223  0 81 19  0  0
 2  0  97368 181532  13404 291248    0    0     0     0  459  260  0 100  0  0  0
 0  0  97368 185512  13404 291236   16    0    16     0  379  269  0 89 11  0  0
 0  0  97368 185764  13404 291248    0    0     0     0  382  254  0 67 33  0  0
 0  0  97368 185796  13412 291248    0    0     0    16  261   59  0  1 98  1  0
 0  0  97368 185796  13412 291252    0    0     0     0  258   51  0  1 99  0  0
 0  0  97368 185796  13412 291256    0    0     0     0  264   84  2  2 95  0  0
 0  0  97368 185796  13412 291256    0    0     0     0  254   46  0  1 99  0  0
 0  0  97368 185764  13412 291256    0    0     0     0  257   56  0  1 99  0  0
 0  0  97368 183236  13832 292524  940    0  2420    28  572 1118  6 48 40  6  0
 0  0  97368 183236  13832 292552    0    0     0     0  281   42  0  0 100  0  0
 0  0  97368 183236  13832 292552    0    0     0     0  286   63  0  1 99  0  0
 0  0  97368 183236  13832 292552    0    0     0     0  290   54  0  0 100  0  0
 0  0  97368 183236  13832 292552    0    0     0     0  294   48  0  0 100  0  0
